"","iso3c","date","value","indicatorID","indicator","iso2c","country"
"168","LAC","2011",60119000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"169","LAC","2010",57888000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"170","LAC","2009",54045000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"171","LAC","2008",55948000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"172","LAC","2007",53743000,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"173","LAC","2006",51711258.7054212,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"174","LAC","2005",50225220.3078688,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"175","LAC","2004",46073356.4585524,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"176","LAC","2003",41141476.6038818,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"177","LAC","2002",40392291.270676,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"178","LAC","2001",41418952.6532173,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"179","LAC","2000",43004676.8907161,"ST.INT.ARVL","International tourism, number of arrivals","XJ","Latin America & Caribbean (excluding high income)"
"180","ATG","2018",269000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"181","ATG","2017",247000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"182","ATG","2016",265000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"183","ATG","2015",250000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"184","ATG","2014",249000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"185","ATG","2013",243000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"186","ATG","2012",247000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"187","ATG","2011",241000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"188","ATG","2010",230000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"189","ATG","2009",234000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"190","ATG","2008",266000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"191","ATG","2007",262000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"192","ATG","2006",254000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"193","ATG","2005",245000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"194","ATG","2004",246000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"195","ATG","2003",239000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"196","ATG","2002",218000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"197","ATG","2001",215000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"198","ATG","2000",207000,"ST.INT.ARVL","International tourism, number of arrivals","AG","Antigua and Barbuda"
"199","BHS","2018",1633000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"200","BHS","2017",1442000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"201","BHS","2016",1500000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"202","BHS","2015",1502000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"203","BHS","2014",1446000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"204","BHS","2013",1366000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"205","BHS","2012",1422000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"206","BHS","2011",1346000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"207","BHS","2010",1370000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"208","BHS","2009",1327000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"209","BHS","2008",1463000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"210","BHS","2007",1528000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"211","BHS","2006",1601000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"212","BHS","2005",1608000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"213","BHS","2004",1561000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"214","BHS","2003",1510000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"215","BHS","2002",1513000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"216","BHS","2001",1538000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"217","BHS","2000",1544000,"ST.INT.ARVL","International tourism, number of arrivals","BS","Bahamas, The"
"218","BRB","2018",680000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"219","BRB","2017",664000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"220","BRB","2016",632000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"221","BRB","2015",592000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"222","BRB","2014",521000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"223","BRB","2013",509000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"224","BRB","2012",536000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"225","BRB","2011",568000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"226","BRB","2010",532000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"227","BRB","2009",519000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"228","BRB","2008",568000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"229","BRB","2007",575000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"230","BRB","2006",563000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"231","BRB","2005",548000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"232","BRB","2004",552000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"233","BRB","2003",531000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"234","BRB","2002",498000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"235","BRB","2001",507000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"236","BRB","2000",545000,"ST.INT.ARVL","International tourism, number of arrivals","BB","Barbados"
"237","BLZ","2018",489000,"ST.INT.ARVL","International tourism, number of arrivals","BZ","Belize"
